Week Start Date,Agency,Final Incident Type,# of Incidents Calculated,Call to First Pickup,Call to PD Calltaker Handoff,Call to FDNY Pickup,Call to FDNY Job Creation,Call to EMS Pickup,Call to Agency Job Creation,Call to Agency Dispatch,Call to Agency Arrival,Call to First Arrival (Multi-Agency Incidents),Median Pickup,Median Calltaker Handoff,Median FDNY Pickup,Median FDNY Job Creation,Median Ems Pickup,Median Ems Job Creation,Median Dispatch,Median Travel,Median Cumulative First Arrival  (Multi-Agency Incidents),Average Travel,Average Dispatch,Average EMS Processing,Average EMS Pickup,Average Calltaker Processing,Average Pickup,Average FD Pickup,Average FD Processing
11/18/2013,NYPD (Non-CIP),Police Officer/Security Holding Suspect,16,3.25,318.00,,,,,495.25,2235.25,2235.25,3,281,,,,,111.5,682.5,1170.5,29.00,2.95,,,5.25,0.05,,
11/18/2013,NYPD (Non-CIP),Disorderly Person/Group/Noise,77,2.96,343.19,,,,,1056.06,1510.96,1499.91,3,334,,,,,257,322,1081,7.58,11.88,,,5.67,0.05,,
11/18/2013,NYPD (Non-CIP),Vehicle Accident,306,3.06,344.19,,,,,1335.37,2678.76,2632.58,3,336.5,,,,,404.5,870.5,2078,22.39,16.52,,,5.69,0.05,,
11/18/2013,NYPD (Non-CIP),Alarms,248,3.16,312.87,,,,,1045.97,1848.98,1848.98,3,310.5,,,,,295,584.5,1353,13.38,12.22,,,5.16,0.05,,
11/18/2013,NYPD (Non-CIP),Past Crime,333,3.34,331.53,,,,,1524.21,2841.63,2791.49,3,318,,,,,366,803,1843,21.96,19.88,,,5.47,0.06,,
11/18/2013,NYPD (Non-CIP),Other Crimes (In Progress),78,3.38,316.76,,,,,581.95,1127.86,1127.86,3,292,,,,,151.5,403,927.5,9.10,4.42,,,5.22,0.06,,
11/18/2013,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,30,2.87,337.60,,,,,575.33,2097.70,1063.60,3,331.5,,,,,112.5,963,747,25.37,3.96,,,5.58,0.05,,
11/18/2013,NYPD (Non-CIP),Possible Crimes,463,3.19,342.09,,,,,1207.15,2195.78,2165.72,3,339,,,,,248,557,1363,16.48,14.42,,,5.65,0.05,,
11/18/2013,NYPD (Non-CIP),Dispute,458,3.07,344.80,,,,,1332.47,2194.41,2188.39,3,335,,,,,271,540,1426,14.37,16.46,,,5.70,0.05,,
11/25/2013,EMS,2. Non-Life Threatening Med Emergencies,9393,3.64,59.11,,,62.44,158.85,237.11,721.33,673.95,3,52,,,5,79,117,416,600,8.07,2.05,0.93,0.08,0.93,0.06,,
11/25/2013,EMS,1. Life Threating Med Emergencies,6335,3.63,51.90,,,55.45,155.80,190.48,555.69,497.39,3,48,,,5,74,107,333,458,6.09,1.50,0.97,0.08,0.81,0.06,,
11/25/2013,FDNY,,133,3.59,280.87,,,,,301.74,552.54,453.07,3,104,,,,,15,230,359,4.18,0.35,,,4.62,0.06,,
11/25/2013,FDNY,3. Medical Emergencies,2626,3.66,138.42,,,68.50,135.51,160.74,419.68,387.93,3,107,,,5,44,8,243,365,4.32,0.37,1.13,0.09,2.25,0.06,,
11/25/2013,FDNY,1. Structural Fires,470,3.31,93.90,,,,,106.39,311.24,305.99,3,54,,,,,10,196,270.5,3.41,0.21,,,1.51,0.06,,
11/25/2013,FDNY,2. Non-Structural Fires,216,3.53,67.78,,,,,82.75,326.51,321.11,3,53.5,,,,,11,225,291.5,4.06,0.25,,,1.07,0.06,,
11/25/2013,FDNY,4. Non-Medical Emergencies,2595,3.67,154.57,,,,,171.50,455.86,433.69,3,78,,,,,12,256,366,4.74,0.28,,,2.52,0.06,,
11/25/2013,NYPD,3. Non-Critical,303,3.23,302.69,,,,,546.70,1054.18,1051.35,3,281,,,,,139,337,864,8.46,4.07,,,4.99,0.05,,
11/25/2013,NYPD,2. Serious,314,3.39,270.04,,,,,427.51,730.07,678.81,3,247,,,,,93,194.5,583,5.04,2.62,,,4.44,0.06,,
11/25/2013,NYPD,1. Critical,146,3.88,258.27,,,,,379.75,651.63,599.90,3,249,,,,,77.5,144,511.5,4.53,2.02,,,4.24,0.06,,
11/25/2013,NYPD (Non-CIP),Alarms,349,3.83,311.83,,,,,970.80,1836.80,1836.80,3,293,,,,,284,538,1228,14.43,10.98,,,5.13,0.06,,
11/25/2013,NYPD (Non-CIP),Police Officer/Security Holding Suspect,27,3.44,300.67,,,,,736.78,1684.93,1684.93,3,305,,,,,147,318,914,15.80,7.27,,,4.95,0.06,,
11/25/2013,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,43,2.95,318.93,,,,,471.84,1490.95,1032.05,3,285,,,,,74,617,715,16.99,2.55,,,5.27,0.05,,
11/25/2013,NYPD (Non-CIP),Disorderly Person/Group/Noise,87,3.23,347.36,,,,,977.48,1576.82,1573.79,3,336,,,,,221,482,1210,9.99,10.50,,,5.74,0.05,,
11/25/2013,NYPD (Non-CIP),Other Crimes (In Progress),112,4.60,317.92,,,,,626.40,1104.11,1099.34,3,315.5,,,,,130.5,299.5,881.5,7.96,5.14,,,5.22,0.08,,
11/25/2013,NYPD (Non-CIP),Vehicle Accident,465,3.92,325.42,,,,,1637.89,3015.70,2949.54,3,301,,,,,553,903,2200,22.96,21.87,,,5.36,0.07,,
11/25/2013,NYPD (Non-CIP),Dispute,716,3.41,331.12,,,,,1308.29,2176.01,2169.57,3,317.5,,,,,242.5,525,1333,14.46,16.29,,,5.46,0.06,,
11/25/2013,NYPD (Non-CIP),Possible Crimes,632,3.63,329.50,,,,,1158.57,1943.40,1883.57,3,324,,,,,241.5,496,1283.5,13.08,13.82,,,5.43,0.06,,
11/25/2013,NYPD (Non-CIP),Past Crime,396,3.44,336.84,,,,,1787.87,3024.52,2997.63,3,327,,,,,403,701.5,1718.5,20.61,24.18,,,5.56,0.06,,
12/02/2013,EMS,2. Non-Life Threatening Med Emergencies,8819,3.32,57.70,,,60.99,123.95,274.60,810.75,742.13,3,52,,,5,76,119,458,637,8.94,2.74,0.51,0.08,0.91,0.06,,
12/02/2013,EMS,1. Life Threating Med Emergencies,5892,3.28,52.08,,,55.59,143.96,188.57,561.86,498.52,3,49,,,5,73,108,344,455,6.22,1.58,0.89,0.08,0.82,0.05,,
12/02/2013,FDNY,,97,3.00,171.68,,,,,193.84,425.19,425.14,3,89,,,,,14,212,353,3.86,0.37,,,2.81,0.05,,
12/02/2013,FDNY,4. Non-Medical Emergencies,1946,3.30,154.47,,,,,171.59,451.89,432.66,3,80,,,,,13,255,370,4.67,0.29,,,2.52,0.05,,
12/02/2013,FDNY,3. Medical Emergencies,2464,3.28,138.82,,,66.10,135.87,160.95,419.93,388.14,3,107,,,5,44,8,244,368,4.32,0.37,1.18,0.09,2.26,0.05,,
12/02/2013,FDNY,2. Non-Structural Fires,142,3.28,79.59,,,,,93.18,343.70,338.66,3,51.5,,,,,10,230,303.5,4.18,0.23,,,1.27,0.05,,
12/02/2013,FDNY,1. Structural Fires,287,3.08,96.69,,,,,109.89,312.31,309.56,3,56,,,,,10,195,269,3.37,0.22,,,1.56,0.05,,
12/02/2013,NYPD,3. Non-Critical,1082,3.24,176.76,,,,,416.13,917.70,904.85,3,129,,,,,121,302.5,650.5,8.36,3.99,,,2.89,0.05,,
12/02/2013,NYPD,2. Serious,1084,3.31,137.06,,,,,291.60,547.69,534.13,3,94,,,,,94,182,440,4.27,2.58,,,2.23,0.06,,
12/02/2013,NYPD,1. Critical,650,3.41,129.33,,,,,244.72,447.94,440.38,3,85,,,,,80,137,350.5,3.39,1.92,,,2.10,0.06,,
12/02/2013,NYPD (Non-CIP),Other Crimes (In Progress),458,3.42,187.66,,,,,454.38,910.53,909.40,3,148,,,,,138,345.5,725.5,7.60,4.45,,,3.07,0.06,,
12/02/2013,NYPD (Non-CIP),Vehicle Accident,1499,2.96,187.40,,,,,1278.74,2554.02,2535.36,3,147,,,,,400,887,1815,21.25,18.19,,,3.07,0.05,,
12/02/2013,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,182,3.62,146.44,,,,,343.99,1756.66,672.63,3,91.5,,,,,88.5,738,401.5,23.54,3.29,,,2.38,0.06,,
12/02/2013,NYPD (Non-CIP),Disorderly Person/Group/Noise,512,3.23,183.50,,,,,955.65,1583.52,1581.02,3,143,,,,,238,372,946,10.46,12.87,,,3.00,0.05,,
12/02/2013,NYPD (Non-CIP),Past Crime,1545,3.13,217.33,,,,,1481.85,2788.13,2741.70,3,174,,,,,411,775,1820,21.77,21.08,,,3.57,0.05,,
12/02/2013,NYPD (Non-CIP),Possible Crimes,2781,3.16,177.53,,,,,1053.14,1901.05,1850.88,3,131,,,,,263,515,1152,14.13,14.59,,,2.91,0.05,,
12/02/2013,NYPD (Non-CIP),Police Officer/Security Holding Suspect,112,3.14,128.72,,,,,547.13,1252.04,1246.15,3,97,,,,,141.5,438,812.5,11.75,6.97,,,2.09,0.05,,
12/02/2013,NYPD (Non-CIP),Alarms,1241,3.22,148.16,,,,,938.19,1774.04,1774.04,3,106,,,,,330,540,1218,13.93,13.17,,,2.42,0.05,,
12/02/2013,NYPD (Non-CIP),Dispute,2709,3.19,184.82,,,,,1102.94,1955.83,1954.49,3,145,,,,,274,513,1237,14.21,15.30,,,3.03,0.05,,
12/09/2013,EMS,1. Life Threating Med Emergencies,6563,3.13,51.55,,,54.93,147.85,189.63,574.49,514.32,3,48,,,5,72,106,353,473,6.41,1.55,0.90,0.08,0.81,0.05,,
12/09/2013,EMS,2. Non-Life Threatening Med Emergencies,9932,3.13,57.97,,,61.31,134.56,260.44,778.73,725.18,3,53,,,5,77,117,447,625,8.64,2.43,0.59,0.08,0.92,0.05,,
12/09/2013,FDNY,3. Medical Emergencies,2592,3.10,146.75,,,64.95,143.59,176.06,441.00,406.52,3,105,,,5,47,8,248,373,4.42,0.49,1.31,0.09,2.39,0.05,,
12/09/2013,FDNY,4. Non-Medical Emergencies,2420,3.16,145.53,,,,,164.30,463.30,445.57,3,76,,,,,13,265,375,4.98,0.31,,,2.37,0.05,,
12/09/2013,FDNY,1. Structural Fires,387,3.02,82.86,,,,,98.21,304.14,299.86,3,59,,,,,11,199,275,3.43,0.26,,,1.33,0.05,,
12/09/2013,FDNY,,121,3.00,176.79,,,,,197.62,453.08,435.04,3,96,,,,,13,217,352,4.26,0.35,,,2.90,0.05,,
12/09/2013,FDNY,2. Non-Structural Fires,334,3.06,72.22,,,,,86.69,327.32,324.79,3,58,,,,,10,226,302.5,4.01,0.24,,,1.15,0.05,,
12/09/2013,NYPD,3. Non-Critical,1612,3.15,174.35,,,,,411.72,863.10,859.81,3,133.5,,,,,117,313.5,657.5,7.52,3.96,,,2.85,0.05,,
12/09/2013,NYPD,2. Serious,1664,3.11,138.99,,,,,282.77,541.83,523.26,3,95,,,,,89,187.5,431.5,4.32,2.40,,,2.26,0.05,,
12/09/2013,NYPD,1. Critical,924,3.17,127.41,,,,,239.71,445.37,429.22,3,84,,,,,84,147,364.5,3.43,1.87,,,2.07,0.05,,
12/09/2013,NYPD (Non-CIP),Other Crimes (In Progress),752,3.17,191.09,,,,,426.95,900.47,898.80,3,150.5,,,,,127,352.5,737.5,7.89,3.93,,,3.13,0.05,,
12/09/2013,NYPD (Non-CIP),Dispute,4359,3.14,182.09,,,,,1068.05,1899.91,1887.63,3,142,,,,,265,529,1204,13.86,14.77,,,2.98,0.05,,
12/09/2013,NYPD (Non-CIP),Police Officer/Security Holding Suspect,169,3.01,129.07,,,,,454.18,1217.71,1205.85,3,93,,,,,141,412,811,12.73,5.42,,,2.10,0.05,,
12/09/2013,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,248,3.19,119.53,,,,,323.29,1600.56,563.97,3,78,,,,,92.5,819.5,361,21.29,3.40,,,1.94,0.05,,
12/09/2013,NYPD (Non-CIP),Past Crime,2556,2.96,208.99,,,,,1347.21,2633.78,2596.90,3,170,,,,,380,780,1809,21.44,18.97,,,3.43,0.05,,
12/09/2013,NYPD (Non-CIP),Disorderly Person/Group/Noise,763,3.12,180.19,,,,,906.89,1524.42,1518.95,3,146,,,,,236,401,995,10.29,12.11,,,2.95,0.05,,
12/09/2013,NYPD (Non-CIP),Alarms,2629,3.18,137.62,,,,,834.24,1680.07,1679.47,3,100,,,,,272,544,1112,14.10,11.61,,,2.24,0.05,,
12/09/2013,NYPD (Non-CIP),Vehicle Accident,2884,2.90,178.20,,,,,1317.76,2664.77,2641.48,3,138,,,,,418.5,925,1925,22.45,18.99,,,2.92,0.05,,
12/09/2013,NYPD (Non-CIP),Possible Crimes,4607,3.18,171.18,,,,,971.49,1831.23,1782.88,3,126,,,,,246,534,1126,14.33,13.34,,,2.80,0.05,,
12/16/2013,EMS,1. Life Threating Med Emergencies,6675,3.45,52.97,,,56.39,150.02,194.26,585.14,518.55,3,48,,,5,75,111,354,474,6.51,1.56,0.89,0.08,0.83,0.06,,
12/16/2013,EMS,2. Non-Life Threatening Med Emergencies,10229,3.43,59.87,,,63.36,129.84,296.69,844.43,778.18,3,54,,,5,81,127,462,653,9.13,2.96,0.53,0.08,0.95,0.06,,
12/16/2013,FDNY,2. Non-Structural Fires,664,3.53,119.11,,,,,133.81,380.07,350.49,3,62,,,,,11,238,318.5,4.10,0.25,,,1.93,0.06,,
12/16/2013,FDNY,4. Non-Medical Emergencies,2364,3.54,153.56,,,,,171.17,465.96,433.45,3,76.5,,,,,12,255,369,4.91,0.29,,,2.50,0.06,,
12/16/2013,FDNY,1. Structural Fires,295,3.46,95.42,,,,,111.10,309.59,304.77,3,59,,,,,10,195,271,3.31,0.26,,,1.53,0.06,,
12/16/2013,FDNY,3. Medical Emergencies,3025,3.37,153.81,,,68.19,150.57,181.82,443.46,405.42,3,112,,,5,52,8,242,377,4.36,0.47,1.38,0.10,2.51,0.06,,
12/16/2013,FDNY,,140,3.46,213.46,,,,,230.11,477.06,465.71,3,90.5,,,,,13,224.5,346,4.12,0.28,,,3.50,0.06,,
12/16/2013,NYPD,2. Serious,2009,3.47,139.24,,,,,293.83,567.03,546.11,3,96,,,,,100,187,446,4.55,2.58,,,2.26,0.06,,
12/16/2013,NYPD,3. Non-Critical,1999,3.43,170.59,,,,,419.96,885.83,881.31,3,132,,,,,127,305,669,7.76,4.16,,,2.79,0.06,,
12/16/2013,NYPD,1. Critical,1157,3.49,127.97,,,,,240.43,426.33,414.85,3,87,,,,,79,144,356,3.10,1.87,,,2.07,0.06,,
12/16/2013,NYPD (Non-CIP),Vehicle Accident,3262,3.18,187.96,,,,,1585.47,2927.45,2899.23,3,147.5,,,,,583,907,2096.5,22.37,23.29,,,3.08,0.05,,
12/16/2013,NYPD (Non-CIP),Possible Crimes,5289,3.46,176.36,,,,,1157.01,2015.13,1960.73,3,135,,,,,313,522,1253,14.30,16.34,,,2.88,0.06,,
12/16/2013,NYPD (Non-CIP),Disorderly Person/Group/Noise,981,3.30,184.04,,,,,1108.56,1768.61,1748.05,3,148,,,,,271,401,1075,11.00,15.41,,,3.01,0.06,,
12/16/2013,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,288,3.48,142.81,,,,,382.70,1795.82,717.88,3,103,,,,,117,798,407,23.55,4.00,,,2.32,0.06,,
12/16/2013,NYPD (Non-CIP),Past Crime,3061,3.24,211.72,,,,,1588.26,2893.93,2847.92,3,174,,,,,485,794,1849,21.76,22.94,,,3.47,0.05,,
12/16/2013,NYPD (Non-CIP),Police Officer/Security Holding Suspect,197,3.38,122.72,,,,,479.15,1188.01,1182.36,3,90,,,,,183,469,836,11.81,5.94,,,1.99,0.06,,
12/16/2013,NYPD (Non-CIP),Alarms,2329,3.34,144.20,,,,,957.13,1852.43,1851.70,3,105,,,,,319,581,1229,14.92,13.55,,,2.35,0.06,,
12/16/2013,NYPD (Non-CIP),Dispute,4980,3.46,185.07,,,,,1279.09,2149.99,2139.75,3,148,,,,,331,513,1315,14.51,18.23,,,3.03,0.06,,
12/16/2013,NYPD (Non-CIP),Other Crimes (In Progress),1015,3.52,185.60,,,,,470.63,962.70,959.38,3,148,,,,,128,350,759,8.20,4.75,,,3.03,0.06,,
12/23/2013,EMS,1. Life Threating Med Emergencies,6548,3.38,52.03,,,55.42,159.23,194.55,554.96,498.44,3,47,,,5,73,106,335,453,6.01,1.53,0.98,0.08,0.82,0.06,,
12/23/2013,EMS,2. Non-Life Threatening Med Emergencies,9661,3.37,58.05,,,61.37,157.22,222.92,690.66,655.99,3,52,,,5,77,115,416,596,7.80,1.86,0.91,0.08,0.92,0.06,,
12/23/2013,FDNY,1. Structural Fires,351,3.19,76.40,,,,,88.36,283.22,280.43,3,57,,,,,10,188,268,3.25,0.20,,,1.22,0.05,,
12/23/2013,FDNY,2. Non-Structural Fires,246,3.77,105.10,,,,,119.37,368.75,362.76,3,67,,,,,11,235,331,4.16,0.24,,,1.69,0.06,,
12/23/2013,FDNY,4. Non-Medical Emergencies,2244,3.49,161.82,,,,,179.05,460.35,441.62,3,76.5,,,,,12,252,363,4.69,0.29,,,2.64,0.06,,
12/23/2013,FDNY,3. Medical Emergencies,2678,3.36,135.82,,,65.43,132.93,156.76,410.81,379.50,3,108,,,5,48,7,241,360,4.23,0.35,1.13,0.09,2.21,0.06,,
12/23/2013,FDNY,,133,3.39,156.68,,,,,173.26,395.71,392.62,3,86,,,,,13,202,340,3.71,0.28,,,2.55,0.06,,
12/23/2013,NYPD,3. Non-Critical,1776,3.39,168.51,,,,,375.21,826.03,822.13,3,129,,,,,114.5,283.5,618.5,7.51,3.44,,,2.75,0.06,,
12/23/2013,NYPD,1. Critical,1131,3.53,125.77,,,,,248.79,446.21,436.10,3,87,,,,,77,145,355,3.29,2.05,,,2.04,0.06,,
12/23/2013,NYPD,2. Serious,2057,3.32,140.35,,,,,280.68,547.87,527.65,3,99,,,,,92,186,433,4.45,2.34,,,2.28,0.06,,
12/23/2013,NYPD (Non-CIP),Alarms,2712,3.34,138.96,,,,,818.06,1663.37,1661.39,3,105,,,,,252,523,1102.5,14.09,11.32,,,2.26,0.06,,
12/23/2013,NYPD (Non-CIP),Vehicle Accident,2408,3.10,183.13,,,,,1278.21,2534.98,2508.96,3,146,,,,,357.5,854.5,1768.5,20.95,18.25,,,3.00,0.05,,
12/23/2013,NYPD (Non-CIP),Disorderly Person/Group/Noise,920,3.37,177.92,,,,,802.37,1371.69,1363.42,3,143,,,,,209.5,376,899.5,9.49,10.41,,,2.91,0.06,,
12/23/2013,NYPD (Non-CIP),Possible Crimes,5315,3.37,172.07,,,,,920.82,1773.23,1729.94,3,128,,,,,246,497,1096,14.21,12.48,,,2.81,0.06,,
12/23/2013,NYPD (Non-CIP),Past Crime,2854,3.22,213.68,,,,,1312.78,2505.43,2468.73,3,171.5,,,,,328,728,1632.5,19.88,18.32,,,3.51,0.05,,
12/23/2013,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,294,3.32,159.57,,,,,313.44,1529.75,710.61,3,111,,,,,74,708.5,408.5,20.27,2.56,,,2.60,0.06,,
12/23/2013,NYPD (Non-CIP),Dispute,5492,3.40,180.74,,,,,1017.20,1844.92,1840.83,3,144,,,,,240,488,1160.5,13.80,13.94,,,2.96,0.06,,
12/23/2013,NYPD (Non-CIP),Police Officer/Security Holding Suspect,212,3.37,126.57,,,,,515.87,1166.29,1165.72,3,88,,,,,154.5,331.5,718,10.84,6.49,,,2.05,0.06,,
12/23/2013,NYPD (Non-CIP),Other Crimes (In Progress),822,3.44,186.18,,,,,422.37,897.98,897.63,3,151.5,,,,,127.5,326,688,7.93,3.94,,,3.05,0.06,,
12/30/2013,EMS,2. Non-Life Threatening Med Emergencies,10141,3.58,58.60,,,61.89,109.36,309.59,828.06,770.99,3,51,,,5,81.5,123,448,638,8.64,3.23,0.24,0.08,0.92,0.06,,
12/30/2013,EMS,1. Life Threating Med Emergencies,6420,3.56,52.87,,,56.37,160.28,202.80,594.40,536.30,3,48,,,5,78,112,357,486,6.53,1.64,0.99,0.08,0.83,0.06,,
12/30/2013,FDNY,3. Medical Emergencies,2579,3.44,170.01,,,66.22,166.43,199.51,463.56,424.40,3,115,,,5,53,8,247,385,4.40,0.49,1.69,0.09,2.78,0.06,,
12/30/2013,FDNY,,166,3.79,293.55,,,,,317.27,595.86,585.28,3,99,,,,,14,227,386,4.64,0.40,,,4.83,0.06,,
12/30/2013,FDNY,4. Non-Medical Emergencies,3279,3.58,136.60,,,,,158.36,478.20,462.83,3,79,,,,,14,279,402,5.33,0.36,,,2.22,0.06,,
12/30/2013,FDNY,1. Structural Fires,393,3.79,87.74,,,,,102.38,303.66,300.65,3,59,,,,,11,194,281,3.35,0.24,,,1.40,0.06,,
12/30/2013,FDNY,2. Non-Structural Fires,456,4.03,104.25,,,,,121.22,367.78,355.93,3,61.5,,,,,12.5,234,323,4.11,0.28,,,1.67,0.07,,
12/30/2013,NYPD,1. Critical,1149,3.60,128.54,,,,,258.81,471.02,449.64,3,88,,,,,81,151,380,3.54,2.17,,,2.08,0.06,,
12/30/2013,NYPD,2. Serious,1930,3.55,138.64,,,,,307.35,576.62,557.14,3,95,,,,,94,193,445,4.49,2.81,,,2.25,0.06,,
12/30/2013,NYPD,3. Non-Critical,1742,3.59,175.21,,,,,480.82,939.94,935.30,3,137,,,,,117,313.5,680,7.65,5.09,,,2.86,0.06,,
12/30/2013,NYPD (Non-CIP),Vehicle Accident,2295,3.15,184.14,,,,,1131.97,2473.67,2449.52,3,148,,,,,327,898,1753,22.36,15.80,,,3.02,0.05,,
12/30/2013,NYPD (Non-CIP),Dispute,5474,3.55,183.46,,,,,1094.63,1945.67,1937.32,3,145,,,,,241.5,525.5,1200,14.18,15.19,,,3.00,0.06,,
12/30/2013,NYPD (Non-CIP),Alarms,2842,3.51,139.52,,,,,762.61,1644.24,1644.24,3,104,,,,,257.5,583,1158,14.69,10.38,,,2.27,0.06,,
12/30/2013,NYPD (Non-CIP),Police Officer/Security Holding Suspect,147,3.69,139.63,,,,,475.20,1173.62,1168.97,3,84,,,,,118,372,713,11.64,5.59,,,2.27,0.06,,
12/30/2013,NYPD (Non-CIP),Possible Crimes,5034,3.55,171.68,,,,,899.04,1761.76,1721.49,3,130,,,,,221,517.5,1095,14.38,12.12,,,2.80,0.06,,
12/30/2013,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,288,3.67,131.07,,,,,352.37,1474.77,634.45,3,92,,,,,83.5,775,396,18.71,3.69,,,2.12,0.06,,
12/30/2013,NYPD (Non-CIP),Disorderly Person/Group/Noise,776,3.60,177.28,,,,,857.08,1467.48,1457.12,3,144,,,,,226,404.5,982.5,10.17,11.33,,,2.89,0.06,,
12/30/2013,NYPD (Non-CIP),Other Crimes (In Progress),943,3.80,180.17,,,,,513.81,1036.54,1025.82,3,147,,,,,118,365,736,8.71,5.56,,,2.94,0.06,,
12/30/2013,NYPD (Non-CIP),Past Crime,2614,3.42,216.00,,,,,1250.67,2497.56,2443.11,3,177,,,,,326.5,745,1609.5,20.78,17.24,,,3.54,0.06,,
01/06/2014,EMS,2. Non-Life Threatening Med Emergencies,10641,3.35,57.98,,,61.16,119.81,319.50,857.30,789.89,3,52,,,5,80,124,458,653,8.96,3.22,0.36,0.07,0.92,0.06,,
01/06/2014,EMS,1. Life Threating Med Emergencies,7225,3.30,51.61,,,55.02,153.61,203.01,591.11,534.96,3,48,,,5,78,112,355,486,6.47,1.65,0.90,0.08,0.81,0.06,,
01/06/2014,FDNY,,201,3.24,146.19,,,,,164.10,460.52,457.73,3,98,,,,,15,248,396,4.94,0.30,,,2.38,0.05,,
01/06/2014,FDNY,3. Medical Emergencies,2722,3.27,174.20,,,66.17,170.50,203.02,465.27,428.24,3,109,,,5,49,8,246,380,4.37,0.48,1.75,0.09,2.85,0.05,,
01/06/2014,FDNY,4. Non-Medical Emergencies,4571,3.36,137.23,,,,,157.78,512.61,501.26,3,79,,,,,15,295,422,5.91,0.34,,,2.23,0.06,,
01/06/2014,FDNY,2. Non-Structural Fires,420,3.38,87.30,,,,,104.02,346.05,343.43,3,61,,,,,12,228,319,4.03,0.28,,,1.40,0.06,,
01/06/2014,FDNY,1. Structural Fires,385,3.30,102.70,,,,,119.45,324.67,307.66,3,58,,,,,12,200,287,3.42,0.28,,,1.66,0.06,,
01/06/2014,NYPD,3. Non-Critical,1690,3.38,174.20,,,,,387.15,825.55,823.22,3,137,,,,,118.5,302,653,7.31,3.55,,,2.85,0.06,,
01/06/2014,NYPD,1. Critical,970,3.26,138.98,,,,,245.45,444.97,430.41,3,88,,,,,79,138,346,3.33,1.77,,,2.26,0.05,,
01/06/2014,NYPD,2. Serious,1751,3.33,136.10,,,,,272.15,550.84,534.94,3,95,,,,,89,185,443,4.64,2.27,,,2.21,0.06,,
01/06/2014,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,357,3.53,148.38,,,,,326.55,1562.11,661.86,3,93,,,,,76,741,377,20.59,2.97,,,2.41,0.06,,
01/06/2014,NYPD (Non-CIP),Past Crime,2798,3.23,205.17,,,,,1241.53,2530.70,2498.57,3,166.5,,,,,353.5,774.5,1702.5,21.49,17.27,,,3.37,0.05,,
01/06/2014,NYPD (Non-CIP),Other Crimes (In Progress),842,3.23,181.95,,,,,393.74,859.05,859.05,3,145.5,,,,,126,340,709,7.76,3.53,,,2.98,0.05,,
